EpochTime,CurrentPlaybackTime,CurrentBufferSize,CurrentPlaybackState,Action,Bitrate
0,0,0,INITIAL_BUFFERING,Starting,0
0,0,0,INITIAL_BUFFERING,Starting,0
0.005556583404541016,0,1,PLAY,InitialBuffering-Play,0
0.005697488784790039,0,0,PLAY,StillPlaying,45226
0.0053253173828125,0,1,INITIAL_BUFFERING,Writing,45226
0.37340664863586426,0,1,PLAY,Writing,45226
0.7666234970092773,0,2,PLAY,Writing,45226
1.19883394241333,1,3,PLAY,Writing,45226
1.5508143901824951,1,4,PLAY,Writing,45226
1.9589378833770752,1,5,PLAY,Writing,45226
2.3523013591766357,2,6,PLAY,Writing,45226
2.761141538619995,2,7,PLAY,Writing,45226
3.174013376235962,3,8,PLAY,Writing,45226
3.773552656173706,3,9,PLAY,Writing,88783
4.005964517593384,4,8,PLAY,StillPlaying,45226
4.411174774169922,4,9,PLAY,Writing,88783
5.048946142196655,5,10,PLAY,Writing,88783
5.879398345947266,5,11,PLAY,Writing,128503
6.696232795715332,6,12,PLAY,Writing,128503
7.471543073654175,7,13,PLAY,Writing,128503
8.005972146987915,8,12,PLAY,StillPlaying,45226
8.31596827507019,8,13,PLAY,Writing,177437
9.46482229232788,9,14,PLAY,Writing,177437
10.39236855506897,10,15,PLAY,Writing,177437
11.438340663909912,11,16,PLAY,Writing,217761
12.005940437316895,12,15,PLAY,StillPlaying,45226
12.49157190322876,12,16,PLAY,Writing,217761
13.741313219070435,13,17,PLAY,Writing,217761
14.975452184677124,14,18,PLAY,Writing,217761
16.005952835083008,16,17,PLAY,StillPlaying,45226
16.048287630081177,16,18,PLAY,Writing,255865
17.1659517288208,17,19,PLAY,Writing,255865
18.156510829925537,18,20,PLAY,Writing,255865
19.261047840118408,19,21,PLAY,Writing,323047
20.005987644195557,20,20,PLAY,StillPlaying,45226
20.618914127349854,20,21,PLAY,Writing,323047
22.178011894226074,22,22,PLAY,Writing,323047
23.499372482299805,23,23,PLAY,Writing,323047
24.005959033966064,24,22,PLAY,StillPlaying,45226
25.469234704971313,25,23,PLAY,Writing,378355
27.6145236492157,27,24,PLAY,Writing,378355
28.00599455833435,28,23,PLAY,StillPlaying,45226
29.693379878997803,29,24,PLAY,Writing,378355
31.36000347137451,31,25,PLAY,Writing,378355
32.00595831871033,32,24,PLAY,StillPlaying,45226
33.94125723838806,33,25,PLAY,Writing,509091
36.00603938102722,36,24,PLAY,StillPlaying,88783
36.564345359802246,36,25,PLAY,Writing,509091
39.15741443634033,39,26,PLAY,Writing,509091
40.00596261024475,40,25,PLAY,StillPlaying,88783
41.82948160171509,41,26,PLAY,Writing,509091
44.00594234466553,44,25,PLAY,StillPlaying,88783
44.118422985076904,44,26,PLAY,Writing,509091
46.26943516731262,46,27,PLAY,Writing,509091
48.00595808029175,48,26,PLAY,StillPlaying,128503
48.758931398391724,48,27,PLAY,Writing,509091
50.716325521469116,50,28,PLAY,Writing,509091
52.00595951080322,52,27,PLAY,StillPlaying,128503
53.35845422744751,53,28,PLAY,Writing,577751
55.733500480651855,55,29,PLAY,Writing,577751
56.00594401359558,56,28,PLAY,StillPlaying,128503
57.92299699783325,57,29,PLAY,Writing,577751
59.95776438713074,59,30,PLAY,Writing,577751
60.00610113143921,60,29,PLAY,StillPlaying,177437
62.829981565475464,62,30,PLAY,Writing,577751
64.00595808029175,64,29,PLAY,StillPlaying,177437
66.5394856929779,66,30,PLAY,Writing,782553
68.00597286224365,68,29,PLAY,StillPlaying,177437
70.43330574035645,70,30,PLAY,Writing,782553
72.00596499443054,72,29,PLAY,StillPlaying,217761
73.2740912437439,73,30,PLAY,Writing,782553
76.00598168373108,76,29,PLAY,StillPlaying,217761
76.7413330078125,76,30,PLAY,Writing,782553
79.63444781303406,79,31,PLAY,Writing,782553
80.00595045089722,80,30,PLAY,StillPlaying,217761
83.17700505256653,83,31,PLAY,Writing,782553
84.00596523284912,84,30,PLAY,StillPlaying,217761
86.49137496948242,86,31,PLAY,Writing,782553
88.00598001480103,88,30,PLAY,StillPlaying,255865
90.25981068611145,90,31,PLAY,Writing,782553
92.0060167312622,92,30,PLAY,StillPlaying,255865
94.03168845176697,94,31,PLAY,Writing,782553
96.00595569610596,96,30,PLAY,StillPlaying,255865
97.7941586971283,97,31,PLAY,Writing,782553
100.00595283508301,100,30,PLAY,StillPlaying,323047
100.6318154335022,100,31,PLAY,Writing,782553
103.72446060180664,103,32,PLAY,Writing,782553
104.00595831871033,104,31,PLAY,StillPlaying,323047
107.02091240882874,107,32,PLAY,Writing,782553
108.00596022605896,108,31,PLAY,StillPlaying,323047
112.00594091415405,112,30,PLAY,StillPlaying,323047
114.0682020187378,114,31,PLAY,Writing,782553
116.00596261024475,116,30,PLAY,StillPlaying,378355
120.00600862503052,120,29,PLAY,StillPlaying,378355
124.00593972206116,124,28,PLAY,StillPlaying,378355
124.17033171653748,124,29,PLAY,Writing,782553
128.0059597492218,128,28,PLAY,StillPlaying,378355
131.37527537345886,131,29,PLAY,Writing,577751
132.00612950325012,132,28,PLAY,StillPlaying,509091
136.00601625442505,136,27,PLAY,StillPlaying,509091
139.44218111038208,139,28,PLAY,Writing,577751
140.00592613220215,140,27,PLAY,StillPlaying,509091
144.0059335231781,144,26,PLAY,StillPlaying,509091
146.64412546157837,146,27,PLAY,Writing,577751
148.00605177879333,148,26,PLAY,StillPlaying,509091
152.00595784187317,152,25,PLAY,StillPlaying,509091
153.3680272102356,153,26,PLAY,Writing,509091
156.00595664978027,156,25,PLAY,StillPlaying,509091
159.2070026397705,159,26,PLAY,Writing,509091
160.0059506893158,160,25,PLAY,StillPlaying,509091
164.00602340698242,164,24,PLAY,StillPlaying,577751
165.0774335861206,165,25,PLAY,Writing,509091
168.00595593452454,168,24,PLAY,StillPlaying,577751
171.35731196403503,171,25,PLAY,Writing,509091
172.00595426559448,172,24,PLAY,StillPlaying,577751
176.00597310066223,176,23,PLAY,StillPlaying,577751
178.0886585712433,178,24,PLAY,Writing,509091
180.00597381591797,180,23,PLAY,StillPlaying,577751
184.00595426559448,184,22,PLAY,StillPlaying,782553
188.00595664978027,188,21,PLAY,StillPlaying,782553
189.5967721939087,189,22,PLAY,Writing,378355
190.56475567817688,190,23,PLAY,Writing,323047
191.58330583572388,191,24,PLAY,Writing,378355
192.00593090057373,192,23,PLAY,StillPlaying,782553
192.36523413658142,192,24,PLAY,Writing,378355
192.95528602600098,192,25,PLAY,Writing,378355
194.24612259864807,194,26,PLAY,Writing,509091
195.42425394058228,195,27,PLAY,Writing,509091
196.00598096847534,196,26,PLAY,StillPlaying,782553
196.5395200252533,196,27,PLAY,Writing,509091
197.89720034599304,197,28,PLAY,Writing,509091
199.39491271972656,199,29,PLAY,Writing,577751
200.00594663619995,200,28,PLAY,StillPlaying,782553
201.00602054595947,201,29,PLAY,Writing,577751
202.47974276542664,202,30,PLAY,Writing,577751
204.00596022605896,204,29,PLAY,StillPlaying,782553
204.33967757225037,204,30,PLAY,Writing,782553
206.25785636901855,206,31,PLAY,Writing,782553
208.0059518814087,208,30,PLAY,StillPlaying,782553
208.24185013771057,208,31,PLAY,Writing,782553
210.25315594673157,210,32,PLAY,Writing,782553
211.68510818481445,211,33,PLAY,Writing,782553
212.00594401359558,212,32,PLAY,StillPlaying,782553
213.92443418502808,213,33,PLAY,Writing,1008699
216.00593829154968,216,32,PLAY,StillPlaying,782553
216.60921549797058,216,33,PLAY,Writing,1008699
219.27883315086365,219,34,PLAY,Writing,1008699
220.00593614578247,220,33,PLAY,StillPlaying,782553
221.8587245941162,221,34,PLAY,Writing,1008699
224.0059404373169,224,33,PLAY,StillPlaying,782553
